"date","county","county.1","date.1","total.contacts","completed.21d.total","incomplete.dead","under.followup","new.on.day","healthy.on.day","ill.on.day","unvisited.on.day","unseen.on.day","completed.21d.followup","tracers.on.day","population","alive.non.case","alive.suspect","alive.probable","alive.confirm","cum.non.case","cum.suspect","cum.probable","cum.confirm","cum.dead.suspect","cum.dead.probable","cum.dead.confirmed","CFR"
2014-08-13,"Bo","Bo",2014-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,654142,0,1,1,0,54,2,1,22,0,0,2,9.1
2014-08-13,"Bombali","Bombali",2014-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,494139,0,0,0,0,10,1,1,7,0,0,1,14.3
2014-08-13,"Bonthe","Bonthe",2014-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168729,0,0,0,0,0,0,0,1,0,0,0,0
2014-08-13,"Kailahun","Kailahun",2014-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,465048,0,0,0,0,201,0,32,378,2,32,151,39.9
2014-08-13,"Kambia","Kambia",2014-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341690,0,0,0,0,1,0,0,1,0,0,0,0
2014-08-13,"Kenema","Kenema",2014-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,653013,3,9,0,9,269,10,0,259,1,0,104,40.2
2014-08-13,"Koinadugu","Koinadugu",2014-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335471,0,0,0,0,15,0,0,0,0,0,0,0
2014-08-13,"Kono","Kono",2014-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325003,0,0,0,0,15,33,1,1,0,0,0,0
2014-08-13,"Moyamba","Moyamba",2014-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278119,0,0,0,0,12,0,0,5,0,0,3,60
2014-08-13,"National","National",2014-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6348350,4,10,1,11,657,46,37,717,5,34,264,36.8
2014-08-13,"Port Loko","Port Loko",2014-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,557978,1,0,0,2,7,0,1,24,1,1,1,4.2
2014-08-13,"Pujehun","Pujehun",2014-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335574,0,0,0,0,2,0,0,3,0,0,0,0
2014-08-13,"Tonkolili","Tonkolili",2014-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,434937,0,0,0,0,10,0,0,2,0,0,0,0
2014-08-13,"Western area rural","Western area rural",2014-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263619,0,0,0,0,5,0,0,1,0,0,0,0
2014-08-13,"Western area urban","Western area urban",2014-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1040888,0,0,0,0,56,0,1,13,1,1,2,15.4
2014-08-14,"Bo","Bo",2014-08-14,169,NA,NA,NA,9,111,0,NA,58,0,0.66,654142,3,0,0,1,59,1,1,23,0,0,2,8.7
